App_ID,Category_ID
570,35
570,29
570,24
570,7
570,5
2870,36
2870,32
2870,31
2870,12
2870,10
2870,9
2870,7
2870,5
7800,35
7800,32
7800,24
7800,21
7800,16
7800,15
7800,14
7800,12
7800,10
7800,9
7800,7
8870,32
8870,31
8870,18
8870,17
8870,12
8870,10
8870,9
8870,7
8980,35
8980,32
8980,24
8980,21
8980,12
8980,10
8980,9
9940,32
9940,21
9940,12
9940,10
9940,9
9940,7
10270,32
10270,24
10270,12
11480,35
11480,32
11480,24
11480,12
11550,32
11550,12
12210,24
12210,21
12210,19
12210,18
12210,12
16900,35
16900,32
16900,24
16900,23
16900,22
16900,21
16900,20
16900,12
24880,32
24880,12
25000,35
25000,32
25000,28
25000,24
25000,21
25000,20
25000,16
25000,14
25000,13
25000,12
25000,5
34870,32
34870,31
34870,24
34870,12
34870,10
34870,8
35720,35
35720,33
35720,32
35720,31
35720,28
35720,24
35720,23
35720,19
35720,18
35720,17
35720,16
35720,15
35720,14
35720,12
35720,10
35720,9
35720,7
35720,5
38400,32
38400,12
38400,9
39140,32
39140,31
39140,19
39140,18
39140,12
39140,10
39150,32
39150,31
39150,19
39150,18
39150,12
39150,10
39150,9
39210,35
39210,33
39210,32
39210,25
39210,24
39210,23
39210,22
39210,21
39210,20
39210,18
39210,12
39520,32
39520,24
39520,12
40950,32
40950,28
40950,24
40950,22
40950,20
40950,12
40950,9
40950,7
40970,32
40970,28
40970,24
40970,22
40970,20
40970,12
40970,9
40970,7
40980,35
40980,32
40980,28
40980,24
40980,12
40980,10
40980,9
40980,7
40980,5
41050,35
41050,32
41050,28
41050,24
41050,16
41050,15
41050,12
41060,35
41060,32
41060,28
41060,24
41060,16
41060,15
41060,12
45200,32
45200,12
45420,32
45420,21
45420,12
45420,10
45760,32
45760,31
45760,24
45760,20
45760,17
45760,16
45760,13
45760,12
45760,10
45760,9
45760,8
45760,7
65070,32
65070,12
65070,9
65930,32
65930,31
65930,17
65930,12
65930,10
65930,9
65930,7
65980,32
65980,24
65980,18
65980,12
65980,10
65980,9
65980,7
65980,5
94400,32
94400,31
94400,24
94400,22
94400,20
94400,17
94400,16
94400,15
94400,13
94400,12
94400,11
94400,10
94400,8
94400,7
95400,35
95400,33
95400,32
95400,31
95400,24
95400,16
95400,15
95400,10
95400,9
95400,8
95400,7
96100,36
96100,32
96100,31
96100,12
96100,10
96100,7
96900,32
96900,31
96900,24
96900,16
96900,15
96900,12
96900,10
96900,7
104900,35
104900,32
104900,31
104900,28
104900,24
104900,23
104900,22
104900,20
104900,16
104900,12
104900,11
104900,10
104900,8
104900,7
104900,5
105420,35
105420,32
105420,31
105420,24
105420,17
105420,16
105420,15
105420,12
105420,10
105420,9
105420,8
107410,36
107410,35
107410,28
107410,27
107410,26
107410,24
107410,23
107410,22
107410,20
107410,12
107410,10
107410,8
107410,7
107410,5
108600,35
108600,33
108600,32
108600,24
108600,23
108600,22
108600,21
108600,20
108600,16
108600,15
108600,14
108600,12
108600,7
108600,5
109600,35
109600,29
109600,28
109600,25
109600,24
109600,23
109600,22
109600,20
109600,12
109600,7
111900,32
111900,31
111900,24
111900,17
111900,12
111900,11
111900,10
111900,9
111900,8
111900,7
113020,35
113020,33
113020,32
113020,31
113020,28
113020,24
113020,23
113020,22
113020,20
113020,16
113020,15
113020,14
113020,13
113020,12
113020,10
113020,9
113020,8
113020,7
113020,5
115800,32
115800,31
115800,17
115800,12
115800,10
115800,9
115800,8
115800,7
116100,32
116100,28
116100,24
116100,21
116100,16
116100,15
116100,12
116100,11
116100,10
116100,9
116100,8
116100,7
116100,5
200150,33
200150,32
200150,24
200150,12
200150,10
201210,33
201210,31
201210,24
201210,22
201210,20
201210,12
201210,7
201420,32
201420,31
201420,28
201420,17
201420,12
201420,10
201420,9
201420,7
201420,5
201810,32
201810,21
201810,12
201810,10
201810,8
202130,35
202130,32
202130,24
202130,12
202130,10
202130,9
203160,32
203160,31
203160,24
203160,19
203160,18
203160,17
203160,12
203160,10
203160,9
203160,7
203290,28
203290,24
203290,21
203290,12
203290,11
203290,10
203290,9
203290,8
203290,7
203290,5
204240,32
204240,31
204240,17
204240,12
204240,10
204240,9
204240,7
204450,32
204450,31
204450,12
204450,10
204450,9
204450,8
204450,7
204530,32
204530,12
204530,10
204530,9
204530,8
204530,7
204630,32
204630,31
204630,12
204630,10
204630,9
204630,8
204630,7
205020,32
205020,12
205080,32
205080,31
205080,12
205080,7
205990,32
205990,24
205990,12
205990,10
205990,9
205990,7
205990,5
206190,36
206190,32
206190,28
206190,19
206190,18
206190,16
206190,12
206190,10
206190,9
206190,7
206420,35
206420,33
206420,32
206420,31
206420,24
206420,23
206420,17
206420,12
206420,10
206420,9
206420,7
206420,5
206500,35
206500,29
206500,24
206500,23
206500,22
206500,21
206500,20
206500,12
206500,11
206500,10
206500,8
206500,7
207000,32
207000,31
207000,17
207000,12
207000,10
207000,9
207000,8
207140,33
207140,32
207140,31
207140,28
207140,24
207140,22
207140,20
207140,19
207140,18
207140,17
207140,16
207140,15
207140,13
207140,12
207140,11
207140,10
207140,9
207140,7
207140,5
207230,35
207230,24
207230,11
207230,10
207230,9
207230,8
207230,7
207930,32
207930,31
207930,24
207930,17
207930,16
207930,15
207930,12
207930,11
207930,10
207930,8
208520,32
208520,12
208520,10
208520,9
208520,7
208650,32
208650,31
208650,19
208650,18
208650,17
208650,12
208650,10
208650,9
208650,8
208650,7
208750,36
208750,32
208750,31
208750,17
208750,12
208750,10
208750,9
208750,7
209000,32
209000,31
209000,12
209000,10
209000,9
209000,8
209000,7
209060,32
209060,31
209060,28
209060,12
209060,10
209060,8
209060,7
209060,5
209160,32
209160,31
209160,24
209160,17
209160,12
209160,10
209160,9
209160,8
209170,32
209170,31
209170,24
209170,17
209170,12
209170,10
209170,9
209170,8
209540,32
209540,31
209540,28
209540,17
209540,12
209540,10
209540,9
209540,8
209540,7
209540,5
209540,2
209630,32
209630,31
209630,17
209630,12
209630,10
209630,9
209650,32
209650,31
209650,24
209650,17
209650,12
209650,10
209650,9
209650,8
209660,32
209660,31
209660,24
209660,17
209660,12
209660,10
209660,9
209660,8
209850,32
209850,12
209850,11
209850,10
210770,35
210770,32
210770,31
210770,24
210770,23
210770,17
210770,12
210770,10
210770,9
210770,8
210770,7
210970,36
210970,32
210970,21
210970,19
210970,18
210970,12
210970,10
210970,9
211280,35
211280,32
211280,24
211280,23
211280,21
211280,12
211280,10
211280,9
211280,8
211500,29
211500,24
211500,22
211500,21
211500,20
211500,12
211500,7
211500,1
211820,35
211820,33
211820,32
211820,24
211820,23
211820,22
211820,20
211820,12
211820,10
211820,7
211820,5
212070,35
212070,25
212070,24
212070,21
212070,10
212070,7
212070,2
212480,32
212480,31
212480,24
212480,19
212480,18
212480,17
212480,16
212480,15
212480,12
212480,10
212480,9
212480,7
213670,32
213670,31
213670,19
213670,18
213670,17
213670,12
213670,10
214420,33
214420,24
214420,21
214420,10
214420,9
214420,8
214420,7
214490,32
214490,31
214490,17
214490,12
214490,10
214490,9
214550,32
214550,28
214550,12
214550,10
214550,9
214550,7
214550,5
214730,32
214730,12
214730,11
214730,10
214730,9
214730,8
214730,7
214770,32
214770,31
214770,24
214770,19
214770,18
214770,17
214770,16
214770,15
214770,12
214770,10
214770,9
214770,8
214770,7
214770,5
214950,35
214950,32
214950,27
214950,26
214950,24
214950,23
214950,22
214950,20
214950,12
214950,9
214950,7
215080,35
215080,29
215080,25
215080,24
215080,23
215080,10
215080,7
215100,25
215100,24
215100,12
215100,7
215280,35
215280,25
215280,24
215280,23
215280,22
215280,20
215280,7
215530,35
215530,33
215530,32
215530,31
215530,24
215530,17
215530,12
215530,11
215530,10
215530,9
215530,8
215530,7
215550,35
215550,32
215550,31
215550,24
215550,23
215550,22
215550,20
215550,12
215630,32
215630,31
215630,12
215630,10
215630,9
215630,7
215690,35
215690,32
215690,31
215690,24
215690,23
215690,12
215690,10
215690,9
215690,8
215690,7
215710,32
215710,12
215830,35
215830,29
215830,25
215830,24
215830,23
215830,22
215830,21
215830,20
215830,12
215830,7
215870,24
215870,9
216090,32
216090,12
216090,10
216090,7
216260,35
216260,32
216260,31
216260,24
216260,17
216260,16
216260,15
216260,12
216260,10
216260,9
216260,8
217100,32
217100,31
217100,12
217100,10
217100,9
217100,7
217120,31
217120,24
217120,22
217120,20
217120,12
217120,11
217120,10
217120,9
217120,8
217140,32
217140,28
217140,24
217140,22
217140,21
217140,20
217140,12
217140,10
217140,9
217140,8
217140,7
217140,5
217200,32
217200,24
217200,22
217200,20
217200,15
217200,13
217200,12
217690,32
217690,12
217690,10
217690,9
217690,7
217750,24
217920,32
217920,24
217920,12
217920,10
217920,8
218060,32
218060,31
218060,12
218060,10
218060,9
218060,7
218620,35
218620,32
218620,31
218620,29
218620,24
218620,23
218620,19
218620,18
218620,17
218620,12
218620,10
218620,9
218620,7
218620,4
218620,1
218700,32
218700,12
218820,35
218820,33
218820,32
218820,31
218820,24
218820,17
218820,16
218820,15
218820,12
218820,10
218820,9
218820,7
219190,32
219190,31
219190,24
219190,17
219190,16
219190,15
219190,12
219190,10
219190,9
219190,8
219190,7
219200,32
219200,31
219200,24
219200,16
219200,15
219200,12
219200,10
219200,9
219200,8
219200,7
219680,32
219680,31
219680,12
219700,24
219700,9
219700,7
219740,32
219740,31
219740,19
219740,18
219740,17
219740,12
219740,9
219740,7
219740,5
219830,35
219830,33
219830,28
219830,24
219830,23
219830,22
219830,21
219830,20
219830,12
219830,10
219830,7
219890,32
219890,12
219890,7
219990,35
219990,32
219990,31
219990,27
219990,24
219990,23
219990,18
219990,17
219990,12
219990,10
219990,9
219990,7
220090,32
220090,12
220090,7
220160,24
220160,21
220160,12
220200,32
220200,21
220200,12
220200,9
220200,7
220200,5
220260,35
220260,32
220260,24
220260,21
220260,12
220260,10
220260,9
220260,7
220440,32
220440,31
220440,12
220440,10
220440,9
220440,8
220440,7
220660,32
220660,12
220660,7
220900,32
220900,12
220900,10
220900,8
220900,7
221040,35
221040,32
221040,24
221040,21
221040,16
221040,15
221040,12
221040,10
221040,9
221040,8
221040,7
221100,35
221100,25
221100,24
221100,23
221100,22
221100,20
221100,10
221100,9
221100,5
221180,32
221180,21
221180,12
221180,10
221380,36
221380,32
221380,28
221380,24
221380,12
221380,11
221380,10
221380,9
221380,8
221380,7
221380,5
221540,36
221540,35
221540,32
221540,31
221540,28
221540,24
221540,17
221540,16
221540,15
221540,12
221540,11
221540,10
221540,9
221540,8
221540,7
221540,5
221810,32
221810,31
221810,24
221810,17
221810,16
221810,15
221810,12
221810,10
221810,9
221910,36
221910,32
221910,31
221910,19
221910,18
221910,17
221910,12
221910,10
221910,9
222180,32
222180,31
222180,12
222180,10
222180,7
222420,32
222420,31
222420,24
222420,20
222420,16
222420,13
222420,12
222420,10
222420,8
222420,7
222440,35
222440,32
222440,31
222440,24
222440,16
222440,14
222440,12
222440,10
222440,8
222440,7
222480,35
222480,32
222480,31
